"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Total Deaths"	"Total Missing"	"Total Injuries"	"Total Damage ($Mil)"	"Total Houses Destroyed"
"[""1200 <= Year >= 2021""]"																									
	1340	7	23				"CHINA"		30	"CHINA:  GANSU PROVINCE:  TAO YUEN CHAN"	29	111.3				360					360				
	1341	1	1		5556		"UKRAINE"		110	"UKRAINE:  CRIMEA"	44.3	34.3		6	8										
	1341	10	31		116		"JAPAN"		30	"JAPAN:  JUSANKO"	41	139.5		7							2600				
	1343	6	30				"CROATIA"		130	"BALKANS NW:  CROATIA"	44	15			10										
	1343	7	3				"CHINA"		30	"CHINA:  HUNAN PROVINCE:  NAN PI TSIN NAN"	34.9	105.8													
	1343	10	18		3114		"TURKEY"		140	"TURKEY:  ISTANBUL (CONSTANTINOPLE)"	40.8	28.3		7.5	8										
	1344	1	3				"SYRIA"		140	"SYRIA:  MEMBIJ, ALEPPO, DIMASHQ  (DAMASCUS)"	36.527	37.956			9	5700					5700				
	1344	5	15				"IRAN"		140	"IRAN:  ESFAHAN"	32.6	51.7				20									
	1344						"PORTUGAL"		130	"PORTUGAL:  LISBON"	38	-9													
	1345	9	12				"ITALY"		130	"ITALY:  FIRENZE (FLORENCE)"	43.8	11.3													
	1346	11	24	23			"SWITZERLAND"		120	"SWITZERLAND"	47.5	7.6			8										
	1347	5					"CHINA"		30	"CHINA:  SHANDONG PROVINCE:  LINTOU, CHINGCHOU"	36.9	118.2													
	1348	1	25	15			"AUSTRIA"		120	"AUSTRIA:VILLACH; ITALY:VENETO; SLOVENIA:CELOVAC"	46.4	13.5			10	5000									
	1349	9	9				"ITALY"		130	"ITALY:  L'AQUILA, ABRUZZI, SANNIO"	42.3	13.5			10	2000					2000				
	1350						"GEORGIA"		40	"GEORGIA:  CHEGEM GORGE, CHREBALO"	43	43	20	6.5	9										
	1351	5	14				"CHINA"		30	"CHINA:  SHANXI PROVINCE:  YUSHE"	37.3	113		5.5	7										
	1352	4	18				"CHINA"		30	"CHINA:  GANSU PROVINCE"	35.6	105.3		7	9										
	1352	12	25				"ITALY"		130	"ITALY:  SANSEPOLCRO"	43.5	12.1			11	2000									
	1353						"TURKEY"		140	"TURKEY"	40.8	27			11										
	1354						"SYRIA"		140	"SYRIA:  HAMAH (HAMA),HIMS (HUMS),BALABAKK"	35.1	36.4			7	24									
	1356	8	24				"PORTUGAL"		130	"PORTUGAL:  LISBON; SPAIN:  SEVILLA, CORDOVA"	36.5	-10			10										
	1356	10	18	21			"SWITZERLAND"		120	"SWITZERLAND:  BASEL"	47.4	7.6			10	300									
	1358						"YEMEN"		60	"YEMEN:  ZABID,SANA,ADAN"	14.1	43.2			8	61									
	1359	3	3				"ALGERIA"		15	"ALGERIA:  ALGIERS"	36.8	3													
	1360	11	22		122		"JAPAN"		30	"JAPAN:  KUMANONADA"	33.4	136.2		7											
	1360						"IRAN"		140	"IRAN:  QESHM ISLAND"	26.8	55.9													
	1361	7	17				"ITALY"		130	"ITALY:  BASILICATA TO POUILLES"	40.3	15.6			10	4000									
	1361	8	3		124		"JAPAN"		30	"JAPAN:  NANKAIDO"	33	135		8.4							660				1700
	1361						"CHINA"		30	"CHINA:  JIANGXI PROVINCE:  YEN HI CHAN"	28.8	115.3		5	6										
	1365	1	2		3116		"ALGERIA"		15	"ALGERIA:  ALGIERS"	36.8	3													
	1367						"IRAN"		140	"IRAN:  KUCHESFAHAN"	37.3	49.7													
	1368	7	8				"CHINA"		30	"CHINA:  SHANXI PROVINCE: XUGOU"	37.6	112.5		6	7										
	1372	8	16				"CHINA"		30	"CHINA:  JIANGSU PROVINCE:  NANJING"	32	118.8		4.8	6	16					16				
	1374	2	2				"SPAIN"		130	"SPAIN:  RIBAGORZA"	42.1	-0.3			10										
	1375						"SWITZERLAND"		120	"SWITZERLAND"	46.9	8.4			8										
	1377						"YEMEN"		60	"YEMEN:  ADEN (ADAN)"	12.4	45.1													
	1380						"ALBANIA"		130	"ALBANIA"	41.1	20.1			10										
	1382	3	17				"IRAN"		140	"IRAN:  REY (RAY)"	35.3	51.2													
	1383	8	6				"TURKEY"		140	"TURKEY"	39.2	26.2			10										
	1384	8					"GREECE"		130	"GREECE:  LESBOS"	39.3	26.3			7	500									
	1385	8	1				"NORTH KOREA"		30	"NORTH KOREA:  KAESONG"	37.6	126.3		6.3	8										
